feature1,feature2,feature3,target
5.496714153011232895e+01,2.699677718293001050e+01,8.987232587538427708e+01,7.730236335780050183e+01
4.861735698828815089e+01,2.462316841456384253e+01,9.783221993926723314e+01,7.890422151950333784e+01
5.647688538100692313e+01,2.029815184960087038e+01,8.811370118500057913e+01,7.696230759841645863e+01
6.523029856408025751e+01,1.676531611147213141e+01,9.538057705541439191e+01,9.078614001913196319e+01
4.765846625276664383e+01,2.349111656806794812e+01,7.159577999569322060e+01,7.628007262944161937e+01
4.765863043050819670e+01,2.196742692710874678e+01,1.031994056105940842e+02,7.447264136546336033e+01
6.579212815507391099e+01,2.447596610013866325e+01,1.000180821304333705e+02,9.470282948392154765e+01
5.767434729152908801e+01,2.317585900840984792e+01,8.774367053397713789e+01,7.523478567135768458e+01
4.530525614065047790e+01,2.524776357659667525e+01,1.098886850264860726e+02,9.133000513962242906e+01
5.542560043585964991e+01,1.732382394219715849e+01,1.140635520643983796e+02,8.036483130879652492e+01
4.536582307187537566e+01,2.658697032817162764e+01,7.588660203446538333e+01,7.688507559638739508e+01
4.534270246429743167e+01,2.098799802346199783e+01,8.855912832150679037e+01,8.105367059446611222e+01
5.241962271566033849e+01,3.037630436312632654e+01,8.846286475319053011e+01,8.276441817661766720e+01
3.086719755342202021e+01,1.655406090955215959e+01,8.590145348336703535e+01,5.408331698761875117e+01
3.275082167486966966e+01,2.867981901582624715e+01,1.124421226289762217e+02,8.160583381338916809e+01
4.437712470759026928e+01,2.098955391731323772e+01,9.709260791840794980e+01,8.169570368518998293e+01
3.987168879665576071e+01,1.674290998192775959e+01,9.603227738034084382e+01,6.124028921335922604e+01
5.314247332595273576e+01,1.758057082972839069e+01,6.994206453389870148e+01,5.448976302826720541e+01
4.091975924478789040e+01,1.839826345902839932e+01,1.095312704531383901e+02,7.314138261712454891e+01
3.587696298664708650e+01,2.212082973200958236e+01,8.141112407719791122e+01,7.166551839444900907e+01
6.465648768921553824e+01,2.261417744017749953e+01,1.008989894539949290e+02,9.573626235771338600e+01
4.774223699513464680e+01,1.713149998030710464e+01,1.041606540693728817e+02,7.336130788432072336e+01
5.067528204687923932e+01,1.987822703869508700e+01,1.204098789375797622e+02,8.325734411556764769e+01
3.575251813786543664e+01,3.071135179305931828e+01,8.036769401321332396e+01,8.460969309584663733e+01
4.455617275474817518e+01,2.863771585050355739e+01,5.470731766268762186e+01,6.370683219830754496e+01
5.110922589709866060e+01,2.218161834837016144e+01,1.027577431713054210e+02,8.105727404207010522e+01
3.849006422577697606e+01,2.019001739084099967e+01,1.270076677226628021e+02,8.252747274832181290e+01
5.375698018345671869e+01,2.060015663359130755e+01,1.185841952940915576e+02,8.942003024669057254e+01
4.399361310081194887e+01,2.306758986365208131e+01,1.031448912291193807e+02,7.807234828956987371e+01
4.708306250206723576e+01,1.488603717400797244e+01,9.262545721551929034e+01,6.936461808302817644e+01
4.398293387770603147e+01,1.871311731288327351e+01,1.121068389495596591e+02,6.563762263211589243e+01
6.852278184508938352e+01,1.165707963061205277e+01,8.539680700443297212e+01,7.057768651893981371e+01
